Class,Balanced F1,Imbalanced F1,Mitigated F1,Is Minority,Imbalance Drop,Mitigation Gain
AnnualCrop,0.9607,0.9195,0.8756,YES,0.0412,-0.0439
Forest,0.9845,0.9677,0.9231,YES,0.0168,-0.0446
HerbaceousVegetation,0.9561,0.9492,0.9453,no,0.0069,-0.0039
Highway,0.9481,0.9642,0.9356,no,-0.0161,-0.0286
Industrial,0.9612,0.984,0.9829,no,-0.0228,-0.0011
Pasture,0.9625,0.963,0.9632,no,-0.0005,0.0002
PermanentCrop,0.9616,0.9546,0.9415,no,0.007,-0.0131
Residential,0.9867,0.9877,0.9853,no,-0.001,-0.0024
River,0.9671,0.9564,0.9492,no,0.0107,-0.0072
SeaLake,0.9944,0.9922,0.991,no,0.0022,-0.0012
